energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,score
411.0,1.0,0.1,0.2973552537526804,0.0312461695607763,0.8,0.7,0.3333333333333333,21.2,1.9,0.748031496062992,0.0001543457943925,0.0137425742574257,0.3183274336283185,0.0090075418994413,2
2242.0,34.4,20.1,0.5658823529411765,0.01490625,44.0,39.8,13.0,6.9,0.0199898,0.00787,0.0005675384615384,0.0873103448275862,0.3104285714285714,0.0052,0
1399.0,8.0,0.9,0.0,0.0008577075098814,54.2,1.3,3.0,9.3,1.3,0.511811023622047,0.0001753867781155,0.0258730158730158,0.2193548387096774,0.0030976326530612,3
1288.0,27.0,10.8,0.2558951310861423,0.0751229946524064,1.0,0.9,0.0,16.0,1.8796,0.74,0.0001780547965116,0.0013911337209302,0.1316871704745167,0.0053277030456852,0
1976.0,19.0,10.0,0.0348148148148148,0.0076200250896057,66.0,28.0,4.0,7.0,1.02,0.401574803149606,0.0005181771894093,0.0316981132075471,0.1657189349112426,0.0035558899398108,0
75.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.3683,0.145,0.0001376498637602,0.0111767151767151,0.12,0.0029126436781609,4
682.0,9.8,1.6,0.0,0.0137737407101568,3.8,1.4,0.0,15.0,1.0,0.393700787401575,0.0001852948328267,0.02,0.148235294117647,0.0045882551020408,3
996.0,0.0,0.0,0.0302255639097744,0.0609790209790209,97.0,0.0,0.0,0.0,0.0,0.0,8.117886178861789e-05,0.012,0.1060655737704918,0.0014918699186991,3
1093.0,21.7,1.7,0.0,0.0140853658536585,0.1,0.0,2.1,16.0,1.0,0.393700787401575,0.0002893052631578,0.0305150214592274,0.1454545454545454,0.004778025210084,3
468.0,0.2,0.1,0.0239033124440465,0.0,22.3,22.2,0.3,1.9,2.63,1.03543307086614,0.0004519145299145,0.053554,0.7087349397590361,0.0088445945945945,1
210.0,0.2,0.0,0.0027536900369003,0.0144044044044044,7.5,6.9,0.2,4.4,0.1778,0.07,0.0001650148085106,0.0273544871794871,0.145,0.0073390625,4
1590.0,1.0,0.2,0.0703233256351039,0.0244028230184581,81.0,3.8,3.5,8.4,2.0,0.78740157480315,0.00012,0.0246,0.2803345323741006,0.007,2
1875.0,14.0,3.0,0.2907153729071537,0.043134945054945,70.0,26.0,4.3,6.9,0.4,0.15748031496063,0.0004007272727272,0.0016756756756756,0.24,0.0042,2
1709.0,6.8,0.6,0.2932392273402674,0.0020993932905067,74.1,10.5,3.2,10.2,0.9,0.354330708661417,6.5304932735426e-05,0.006304932735426,0.12,0.0012,3
203.0,3.1,1.6,0.7243609022556391,0.0087030303030303,4.1,0.5,0.5,0.9,0.68072,0.268,0.0001704395604395,0.036614973262032,0.0675758793969849,0.0041781818181818,2
286.0,0.5,0.5,0.0199584870848708,0.0,15.0,13.0,1.7,0.5,0.0,0.0,0.0002739302625914,0.0191174418604651,0.13452,0.0029771739130434,4
2273.0,34.0,3.1,0.0061643835616438,0.0269609120521172,52.0,2.0,4.5,5.6,1.5,0.590551181102362,0.00012,0.013,0.5299316546762589,0.0073280423280423,2
957.0,13.0,0.9,0.0,0.0,14.0,0.5,2.1,13.0,1.1,0.433070866141732,2.748741418764302e-05,0.02162,0.3728724637681159,0.0031446753246753,4
2054.0,23.0,8.5,0.0660996717397791,0.0039457492557062,62.0,32.0,3.7,7.0,0.28,0.110236220472441,0.0005422733812949,0.0311258741258741,0.2883636363636364,0.003156,1
1907.0,17.1,7.8,0.0397919375812743,0.0055531062124248,63.5,25.5,5.6,8.8,0.43,0.169291338582677,0.0002242906875543,0.0410978332239002,0.9169350649350648,0.0092298245614035,1
1049.0,25.5,2.0,0.0,0.0353473370823685,5.2,3.6,0.6,0.7,2.6,1.02362204724409,0.0005527272727272,0.0542273869346733,0.8602682926829268,0.006731914893617,1
2.0,0.0,0.0,0.3937432578209277,0.0012080656673804,0.0,0.0,0.0,0.0,0.01,0.0039370078740157,0.0001974358974358,0.0393992673992674,0.12,0.0066626556016597,3
302.0,0.6,0.18,0.0146174863387978,0.0,15.3,14.6,1.4,0.5,0.0,0.0,0.0003024561626429,0.026,0.1794771241830065,0.5121688741721853,4
1362.0,26.0,18.0,0.0689048045359594,0.0061534899106847,0.5,0.1,0.0,23.0,1.7,0.669291338582677,0.0007402298850574,0.0593908045977011,0.4233333333333333,0.0091013071895424,1
180.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,1.0,0.508,0.2,9.700272479564033e-05,0.0217297297297297,0.1344329896907216,0.0032,4
1050.0,7.8,3.8,0.0,0.0,34.7,2.1,3.0,11.0,0.7112,0.28,0.000170989010989,0.0079692307692307,0.12,0.0069158878504672,3
2118.0,26.7,2.8,0.1498864809081527,0.0479602649006622,55.3,7.2,3.15,9.7,1.6,0.62992125984252,0.0004426610228058,0.027678431372549,0.22,0.0074121212121212,1
245.0,1.2,0.2,0.0,0.0,11.0,7.5,0.5,0.8,0.1,0.0393700787401575,0.0010583928571428,0.0312961082910321,0.12,0.0048944918998527,3
1023.0,8.9,0.7,0.0,0.0187195121951219,28.8,2.5,0.0,10.9,0.87,0.34251968503937,0.0001641233766233,0.03336,0.1489473684210526,0.0318952702702702,3
961.0,0.0,0.0,0.0865711727842435,0.0200575587165067,56.0,55.0,2.94,0.5,0.0,0.0,0.0004746675900277,0.0321724137931034,0.5387464114832536,0.007,1
1418.0,0.5,0.1,0.0531483139361384,0.0,76.0,47.0,0.0,6.1,0.03,0.0118110236220472,0.0004815420560747,0.066027972027972,0.9321311475409836,0.0068208092485549,1
1830.0,10.0,4.5,0.015149544863459,0.0184649298597194,79.0,33.0,2.5,5.5,0.6604,0.26,0.0001863577023498,0.0291529875246224,0.3509428571428571,0.007,1
191.0,2.6,0.7,0.0280434782608695,0.0,2.8,1.0,2.1,1.8,0.508,0.2,0.0003658846960167,0.0086610169491525,0.0786153846153846,0.0032666666666666,4
81.0,0.2,0.1,0.0125738007380073,0.0005052631578947,2.0,1.8,1.7,1.5,0.254,0.1,0.0005075673697804,0.0126907514450867,0.1291228070175438,0.0057680365296803,4
1045.0,2.5,0.3,0.0,0.0093517753922378,47.1,7.5,2.5,7.6,1.09982,0.433,0.0002,0.02,0.12,0.0069961836734693,3
1908.0,24.0,10.0,0.0711429424052521,0.007914985114125,53.0,32.0,2.8,5.7,0.16,0.062992125984252,0.0007718351800554,0.0559425287356321,0.7955555555555556,0.012532679738562,1
485.0,6.6,1.2,0.1052748885586924,0.0266111111111111,9.0,0.9,0.9,5.3,0.8,0.31496062992126,0.0001186677419354,0.0069540166204986,0.1294426229508196,0.002964,3
707.0,7.2,1.1,1.0,0.0003995545657015,19.6,0.9,1.3,5.8,1.0,0.393700787401575,0.0001907824933687,0.0243060975609756,0.1445333333333333,0.0070757534246575,2
2070.0,24.0,13.0,0.0310793237971391,0.0101182364729458,61.0,26.0,4.0,6.5,0.4572,0.18,0.0002108790252393,0.0368745896257386,0.9210843373493977,0.007,1
1046.0,20.0,7.5,0.0078306878306878,0.0042772401433691,1.0,0.7,0.0,17.0,2.3,0.905511811023622,0.0005311608961303,0.0432452830188679,0.2038180473372781,0.0023499570077386,0
973.0,2.0,0.3,0.0028459409594095,0.0142042042042042,43.0,3.0,6.3,6.9,1.4,0.551181102362205,0.0001652565106382,0.0261536324786324,0.135560975609756,0.0076203125,4
74.0,0.5,0.5,0.0,0.0069859620148637,0.8,0.5,0.0,2.3,0.44,0.173228346456693,0.000321597633136,0.0127704918032786,0.2033823529411764,0.0046077586206896,3
180.0,2.0,1.0,0.0,0.0,5.0,2.0,1.5,0.7,0.69088,0.272,0.0002309523809523,0.0121907692307692,0.12,0.0105794392523364,3
295.0,0.5,0.17,0.014931693989071,0.0,14.9,13.1,1.9,0.3,0.0,0.0,0.0002686137229987,0.0104999999999999,0.1764705882352941,0.6642582781456952,4
139.0,0.702,0.0,0.0,0.0,1.05,0.0,3.68,3.86,1.23,0.483,3.882837528604119e-05,0.0115741176470588,0.12,0.0032672727272727,4
1294.0,8.8,1.2,0.2754680534918277,0.0021457887223411,47.2,1.3,5.4,3.7,0.8,0.31496062992126,6.507174887892376e-05,0.0060717488789237,0.0892325581395348,0.0012,3
1090.0,11.5,5.8,0.0,0.0092052117263843,26.0,2.5,1.3,12.0,1.6,0.62992125984252,2.164950738916256e-05,0.0701299212598425,0.9526376811594204,0.0106811594202898,1
583.0,9.2,5.1,0.5954253037884203,0.011652706843718,9.9,0.9,1.0,3.9,1.27,0.5,0.0001751768488745,0.04998,0.3069818181818181,0.0071756097560975,2
619.0,0.5,0.5,0.0,0.0,71.0,0.0,0.6,0.5,0.0,0.0,8.095238095238096e-05,0.0036615384615384,0.12,0.0031775700934579,3
2110.0,24.0,10.5,0.2127191011235955,0.0947379679144385,64.0,36.0,2.2,6.2,0.63,0.248031496062992,0.0002007893895348,0.0010484011627906,0.1431985940246045,0.0083300634517766,0
637.0,4.3,2.9,0.0,0.0125,21.4,20.1,2.4,5.2,0.19,0.0748031496062992,0.0002936842105263,0.0260515021459227,0.1456666666666666,0.0052783613445378,3
2372.0,37.1,21.0,0.3101123595505618,0.0504919786096256,50.9,49.9,1.35,7.4,0.25,0.0984251968503937,0.0001495063953488,0.0018215116279069,0.0831219512195121,0.0015575634517766,0
146.0,1.2,0.2,0.0,0.0,4.5,3.6,1.2,0.9,0.85,0.334645669291339,0.0001937465940054,0.0092744282744282,0.135440414507772,0.0022114942528735,4
