energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,nutrition-score-fr_100g,code,score
1482.0,4.0,1.6,0.0011715867158671,0.0178378378378378,65.0,17.5,8.8,9.3,0.01,0.0039370078740157,0.0001608696170212,0.0479491452991453,0.1466219512195122,0.0036368421052631,-2.0,26019611,4
467.0,4.3,1.8,0.0011854243542435,0.0178078078078078,7.5,1.2,2.4,9.5,1.0668,0.42,0.0001609058723404,0.0477690170940171,0.1452682926829268,0.0036305263157894,-2.0,26021102,4
291.0,1.9,0.5,0.0011946494464944,0.0177877877877877,6.7,1.2,3.666666666666667,5.6,0.85,0.334645669291339,0.0001609300425531,0.0476489316239316,0.1443658536585365,0.0036263157894736,-1.0,26021812,4
283.0,0.4,0.2,0.0012546125461254,0.0176576576576576,15.0,13.5,2.1,0.3,0.3,0.118110236220472,0.0001610871489361,0.046868376068376,0.1385,0.003598947368421,-2.0,26041124,4
268.0,0.1,0.1,0.0012638376383763,0.0176376376376376,14.7,14.3,1.1,0.3,0.0254,0.01,0.0001611113191489,0.0467482905982906,0.1375975609756097,0.0035947368421052,-3.0,26041230,4
149.0,0.5,0.1,0.0012822878228782,0.0175975975975976,5.4,5.3,2.575,1.5,0.50038,0.197,0.0001611596595744,0.0465081196581196,0.1357926829268292,0.0035863157894736,-2.0,26043258,4
71.0,0.3,0.1,0.0012961254612546,0.0175675675675675,1.0,1.0,1.3,1.9,1.016,0.4,0.0001611959148936,0.0463279914529914,0.1344390243902439,0.00358,-3.0,26043333,4
187.0,0.8,0.1,0.0013191881918819,0.0175175175175175,7.3,7.0,3.7666666666666666,1.5,0.9,0.354330708661417,0.0001612563404255,0.0460277777777777,0.1321829268292683,0.0035694736842105,-1.0,26043500,4
135.0,0.0,0.0,0.0013468634686346,0.0174574574574574,6.0,5.0,3.4333333333333336,1.0,0.89,0.350393700787402,0.0001613288510638,0.0456675213675213,0.1294756097560975,0.0035568421052631,-1.0,26044033,4
340.0,6.8,0.3,0.0014483394833948,0.0172372372372372,2.0,2.0,4.3,1.2,1.0922,0.43,0.0001615947234042,0.0443465811965812,0.1200323741007194,0.0035105263157894,-2.0,26066721,4
348.0,0.6,0.1,0.0017666051660516,0.0165465465465465,12.0,0.7,5.0,4.8,0.85,0.334645669291339,0.0001624285957446,0.0402036324786324,0.1222661870503597,0.0043296875,-3.0,3017800118191,4
288.0,3.1,0.2,0.0017758302583025,0.0165265265265265,2.4,1.8,1.2,7.2,0.9398,0.37,0.0001624527659574,0.040083547008547,0.1223309352517985,0.0043578125,-2.0,3017800132425,4
402.0,2.1,0.6,0.0018357933579335,0.0163963963963963,12.0,0.8,5.1,5.1,0.99,0.389763779527559,0.0001626098723404,0.0393029914529914,0.122751798561151,0.004540625,-8.0,3017800180433,4
357.0,3.0,1.2,0.0018588560885608,0.0163463463463463,6.2,2.0,2.7,7.0,0.95,0.374015748031496,0.0001626702978723,0.0390027777777777,0.1229136690647482,0.0046109375,-1.0,3017800187623,4
414.0,5.7,2.1,0.0018819188191881,0.0162962962962963,9.3,1.8,1.1,2.1,0.6858,0.27,0.0001627307234042,0.0387025641025641,0.1230755395683453,0.00468125,-2.0,3017800196991,4
306.0,2.2,0.7,0.0019049815498154,0.0162462462462462,7.2,2.5,1.5,5.3,1.0,0.393700787401575,0.0001627911489361,0.0384023504273504,0.1232374100719424,0.0047515625,-1.0,3017800200476,4
242.0,1.3,0.3,0.0019418819188191,0.0161661661661661,5.1,3.0,3.8,5.0,0.67,0.263779527559055,0.0001628878297872,0.0379220085470085,0.1234964028776978,0.0048640625,-2.0,3017800202241,4
